77TH STREET     	 2.689495327617718 	           17019
SOUTHEAST       	 2.105776256800523 	           12942
NEWTON          	 2.017120834143442 	            9846
SOUTHWEST       	 2.7021348727135095 	            8912
HOLLENBECK      	 2.6493492384728086 	            6202
HARBOR          	 4.075035449343704 	            5621
RAMPART         	 1.5746749254915222 	            5115
MISSION         	 4.70838789759244 	            4504
OLYMPIC         	 1.820684090485227 	            4424
NORTHEAST       	 3.9071086179159042 	            3920
FOOTHILL        	 3.8029708851056223 	            3774
HOLLYWOOD       	 1.461112865377517 	            3641
CENTRAL         	 1.138338239635026 	            3614
WILSHIRE        	 2.312917071124614 	            3525
NORTH HOLLYWOOD 	 2.7164004149191214 	            3466
WEST VALLEY     	 3.532369167961334 	            2902
VAN NUYS        	 2.2198640197215234 	            2733
PACIFIC         	 3.728939103459977 	            2708
DEVONSHIRE      	 4.011825365635363 	            2471
TOPANGA         	 3.4813810583227514 	            2283
WEST LOS ANGELES 	 4.248587515715775 	            1541
