77TH STREET     	 2.689495327617691 	           17019
SOUTHEAST       	 2.105776256800539 	           12942
NEWTON          	 2.017120834143463 	            9846
SOUTHWEST       	 2.702134872713494 	            8912
HOLLENBECK      	 2.6493492384728285 	            6202
HARBOR          	 4.075035449343691 	            5621
RAMPART         	 1.5746749254915318 	            5115
MISSION         	 4.708387897592442 	            4504
OLYMPIC         	 1.8206840904852262 	            4424
NORTHEAST       	 3.9071086179158896 	            3920
FOOTHILL        	 3.8029708851056228 	            3774
HOLLYWOOD       	 1.461112865377519 	            3641
CENTRAL         	 1.13833823963503 	            3614
WILSHIRE        	 2.3129170711246037 	            3525
NORTH HOLLYWOOD 	 2.7164004149191174 	            3466
WEST VALLEY     	 3.53236916796134 	            2902
VAN NUYS        	 2.2198640197215247 	            2733
PACIFIC         	 3.7289391034599695 	            2708
DEVONSHIRE      	 4.011825365635366 	            2471
TOPANGA         	 3.481381058322759 	            2283
WEST LOS ANGELES 	 4.24858751571577 	            1541
